season,date,home_team,away_team,home_goals,away_goals,score,result,venue
2013-2014,2014-03-09,Espanyol,Elche,3.0,1.0,3–1,Home Win,Cornellá - El Prat
2013-2014,2014-03-10,Real Sociedad,Rayo Vallecano,2.0,3.0,2–3,Away Win,Anoeta
2013-2014,2014-03-10,Osasuna,Málaga,0.0,2.0,0–2,Away Win,Reyno de Navarra
2013-2014,2014-03-14,Getafe,Granada,3.0,3.0,3–3,Draw,Coliseum Alfonso Pérez
2013-2014,2014-03-15,Málaga,Real Madrid,0.0,1.0,0–1,Away Win,La Rosaleda
2013-2014,2014-03-15,Atlético Madrid,Espanyol,1.0,0.0,1–0,Home Win,Vicente Calderón
2013-2014,2014-03-15,Levante,Celta Vigo,0.0,1.0,0–1,Away Win,Ciutat de Valencia
2013-2014,2014-03-15,Rayo Vallecano,Almería,3.0,1.0,3–1,Home Win,Estadio de Vallecas Teresa Rivero
2013-2014,2014-03-16,Real Sociedad,Valencia,1.0,0.0,1–0,Home Win,Anoeta
2013-2014,2014-03-16,Elche,Betis,0.0,0.0,0–0,Draw,Martínez Valero
2013-2014,2014-03-16,Barcelona,Osasuna,7.0,0.0,7–0,Home Win,Camp Nou
2013-2014,2014-03-16,Sevilla,Valladolid,4.0,1.0,4–1,Home Win,Ramón Sánchez Pizjuán
2013-2014,2014-03-17,Villarreal,Athletic Club,1.0,1.0,1–1,Draw,El Madrigal
2013-2014,2014-03-21,Celta Vigo,Málaga,0.0,2.0,0–2,Away Win,Balaídos
2013-2014,2014-03-22,Valladolid,Rayo Vallecano,1.0,1.0,1–1,Draw,José Zorrilla
2013-2014,2014-03-22,Espanyol,Levante,0.0,0.0,0–0,Draw,Cornellá - El Prat
2013-2014,2014-03-22,Granada,Elche,1.0,0.0,1–0,Home Win,Nuevo Los Cármenes
2013-2014,2014-03-22,Athletic Club,Getafe,1.0,0.0,1–0,Home Win,San Mamés
2013-2014,2014-03-23,Valencia,Villarreal,2.0,1.0,2–1,Home Win,Mestalla
2013-2014,2014-03-23,Betis,Atlético Madrid,0.0,2.0,0–2,Away Win,Benito Villamarín
2013-2014,2014-03-23,Osasuna,Sevilla,1.0,2.0,1–2,Away Win,Reyno de Navarra
2013-2014,2014-03-23,Real Madrid,Barcelona,3.0,4.0,3–4,Away Win,Santiago Bernabéu
2013-2014,2014-03-24,Almería,Real Sociedad,4.0,3.0,4–3,Home Win,Estadio Mediterráneo
2013-2014,2014-03-25,Elche,Athletic Club,0.0,0.0,0–0,Draw,Martínez Valero
2013-2014,2014-03-25,Málaga,Espanyol,1.0,2.0,1–2,Away Win,La Rosaleda
2013-2014,2014-03-26,Sevilla,Real Madrid,2.0,1.0,2–1,Home Win,Ramón Sánchez Pizjuán
2013-2014,2014-03-26,Atlético Madrid,Granada,1.0,0.0,1–0,Home Win,Vicente Calderón
2013-2014,2014-03-26,Barcelona,Celta Vigo,3.0,0.0,3–0,Home Win,Camp Nou
2013-2014,2014-03-26,Rayo Vallecano,Osasuna,1.0,0.0,1–0,Home Win,Estadio de Vallecas Teresa Rivero
2013-2014,2014-03-27,Levante,Betis,1.0,3.0,1–3,Away Win,Ciutat de Valencia
2013-2014,2014-03-27,Almería,Valencia,2.0,2.0,2–2,Draw,Estadio Mediterráneo
2013-2014,2014-03-27,Getafe,Villarreal,0.0,1.0,0–1,Away Win,Coliseum Alfonso Pérez
2013-2014,2014-03-27,Real Sociedad,Valladolid,1.0,0.0,1–0,Home Win,Anoeta
2013-2014,2014-03-29,Real Madrid,Rayo Vallecano,5.0,0.0,5–0,Home Win,Santiago Bernabéu
2013-2014,2014-03-29,Athletic Club,Atlético Madrid,1.0,2.0,1–2,Away Win,San Mamés
2013-2014,2014-03-29,Espanyol,Barcelona,0.0,1.0,0–1,Away Win,Cornellá - El Prat
2013-2014,2014-03-29,Celta Vigo,Sevilla,1.0,0.0,1–0,Home Win,Balaídos
2013-2014,2014-03-30,Villarreal,Elche,1.0,1.0,1–1,Draw,El Madrigal
2013-2014,2014-03-30,Osasuna,Real Sociedad,1.0,1.0,1–1,Draw,Reyno de Navarra
2013-2014,2014-03-30,Valladolid,Almería,1.0,0.0,1–0,Home Win,José Zorrilla
2013-2014,2014-03-30,Valencia,Getafe,1.0,3.0,1–3,Away Win,Mestalla
2013-2014,2014-03-31,Granada,Levante,0.0,2.0,0–2,Away Win,Nuevo Los Cármenes
2013-2014,2014-03-31,Betis,Málaga,1.0,2.0,1–2,Away Win,Benito Villamarín
2013-2014,2014-04-04,Almería,Osasuna,1.0,2.0,1–2,Away Win,Estadio Mediterráneo
2013-2014,2014-04-05,Rayo Vallecano,Celta Vigo,3.0,0.0,3–0,Home Win,Estadio de Vallecas Teresa Rivero
2013-2014,2014-04-05,Real Sociedad,Real Madrid,0.0,4.0,0–4,Away Win,Anoeta
2013-2014,2014-04-05,Barcelona,Betis,3.0,1.0,3–1,Home Win,Camp Nou
2013-2014,2014-04-05,Atlético Madrid,Villarreal,1.0,0.0,1–0,Home Win,Vicente Calderón
2013-2014,2014-04-06,Sevilla,Espanyol,4.0,1.0,4–1,Home Win,Ramón Sánchez Pizjuán
2013-2014,2014-04-06,Málaga,Granada,4.0,1.0,4–1,Home Win,La Rosaleda
2013-2014,2014-04-06,Elche,Getafe,1.0,0.0,1–0,Home Win,Martínez Valero
2013-2014,2014-04-06,Valladolid,Valencia,0.0,0.0,0–0,Draw,José Zorrilla
2013-2014,2014-04-07,Levante,Athletic Club,1.0,2.0,1–2,Away Win,Ciutat de Valencia
2013-2014,2014-04-11,Osasuna,Valladolid,0.0,0.0,0–0,Draw,Reyno de Navarra
2013-2014,2014-04-12,Granada,Barcelona,1.0,0.0,1–0,Home Win,Nuevo Los Cármenes
2013-2014,2014-04-12,Villarreal,Levante,1.0,0.0,1–0,Home Win,El Madrigal
2013-2014,2014-04-12,Celta Vigo,Real Sociedad,2.0,2.0,2–2,Draw,Balaídos
2013-2014,2014-04-12,Real Madrid,Almería,4.0,0.0,4–0,Home Win,Santiago Bernabéu
2013-2014,2014-04-13,Valencia,Elche,2.0,1.0,2–1,Home Win,Mestalla
2013-2014,2014-04-13,Espanyol,Rayo Vallecano,2.0,2.0,2–2,Draw,Cornellá - El Prat
2013-2014,2014-04-13,Betis,Sevilla,0.0,2.0,0–2,Away Win,Benito Villamarín
2013-2014,2014-04-13,Getafe,Atlético Madrid,0.0,2.0,0–2,Away Win,Coliseum Alfonso Pérez
2013-2014,2014-04-14,Athletic Club,Málaga,3.0,0.0,3–0,Home Win,San Mamés
2013-2014,2014-04-18,Atlético Madrid,Elche,2.0,0.0,2–0,Home Win,Vicente Calderón
2013-2014,2014-04-19,Real Sociedad,Espanyol,2.0,1.0,2–1,Home Win,Anoeta
2013-2014,2014-04-19,Osasuna,Valencia,1.0,1.0,1–1,Draw,Reyno de Navarra
2013-2014,2014-04-19,Levante,Getafe,0.0,0.0,0–0,Draw,Ciutat de Valencia
2013-2014,2014-04-20,Almería,Celta Vigo,2.0,4.0,2–4,Away Win,Estadio Mediterráneo
2013-2014,2014-04-20,Barcelona,Athletic Club,2.0,1.0,2–1,Home Win,Camp Nou
2013-2014,2014-04-20,Sevilla,Granada,4.0,0.0,4–0,Home Win,Ramón Sánchez Pizjuán
2013-2014,2014-04-20,Rayo Vallecano,Betis,3.0,1.0,3–1,Home Win,Estadio de Vallecas Teresa Rivero
2013-2014,2014-04-21,Málaga,Villarreal,2.0,0.0,2–0,Home Win,La Rosaleda
2013-2014,2014-04-25,Elche,Levante,1.0,1.0,1–1,Draw,Martínez Valero
2013-2014,2014-04-26,Betis,Real Sociedad,0.0,1.0,0–1,Away Win,Benito Villamarín
2013-2014,2014-04-26,Getafe,Málaga,1.0,0.0,1–0,Home Win,Coliseum Alfonso Pérez
2013-2014,2014-04-26,Real Madrid,Osasuna,4.0,0.0,4–0,Home Win,Santiago Bernabéu
2013-2014,2014-04-26,Granada,Rayo Vallecano,0.0,3.0,0–3,Away Win,Nuevo Los Cármenes
2013-2014,2014-04-27,Villarreal,Barcelona,2.0,3.0,2–3,Away Win,El Madrigal
2013-2014,2014-04-27,Athletic Club,Sevilla,3.0,1.0,3–1,Home Win,San Mamés
2013-2014,2014-04-27,Valencia,Atlético Madrid,0.0,1.0,0–1,Away Win,Mestalla
2013-2014,2014-04-27,Espanyol,Almería,1.0,2.0,1–2,Away Win,Cornellá - El Prat
2013-2014,2014-04-28,Celta Vigo,Valladolid,4.0,1.0,4–1,Home Win,Balaídos
2013-2014,2014-05-02,Rayo Vallecano,Athletic Club,0.0,3.0,0–3,Away Win,Estadio de Vallecas Teresa Rivero
2013-2014,2014-05-03,Osasuna,Celta Vigo,0.0,2.0,0–2,Away Win,Reyno de Navarra
2013-2014,2014-05-03,Valladolid,Espanyol,1.0,0.0,1–0,Home Win,José Zorrilla
2013-2014,2014-05-03,Barcelona,Getafe,2.0,2.0,2–2,Draw,Camp Nou
2013-2014,2014-05-03,Málaga,Elche,0.0,1.0,0–1,Away Win,La Rosaleda
2013-2014,2014-05-04,Sevilla,Villarreal,0.0,0.0,0–0,Draw,Ramón Sánchez Pizjuán
2013-2014,2014-05-04,Levante,Atlético Madrid,2.0,0.0,2–0,Home Win,Ciutat de Valencia
2013-2014,2014-05-04,Almería,Betis,3.0,2.0,3–2,Home Win,Estadio Mediterráneo
2013-2014,2014-05-04,Real Madrid,Valencia,2.0,2.0,2–2,Draw,Santiago Bernabéu
2013-2014,2014-05-05,Real Sociedad,Granada,1.0,1.0,1–1,Draw,Anoeta
2013-2014,2014-05-07,Valladolid,Real Madrid,1.0,1.0,1–1,Draw,José Zorrilla
2013-2014,2014-05-10,Villarreal,Rayo Vallecano,4.0,0.0,4–0,Home Win,El Madrigal
2013-2014,2014-05-10,Levante,Valencia,2.0,0.0,2–0,Home Win,Ciutat de Valencia
2013-2014,2014-05-11,Athletic Club,Real Sociedad,1.0,1.0,1–1,Draw,San Mamés
2013-2014,2014-05-11,Betis,Valladolid,4.0,3.0,4–3,Home Win,Benito Villamarín
2013-2014,2014-05-11,Elche,Barcelona,0.0,0.0,0–0,Draw,Martínez Valero
2013-2014,2014-05-11,Espanyol,Osasuna,1.0,1.0,1–1,Draw,Cornellá - El Prat
2013-2014,2014-05-11,Celta Vigo,Real Madrid,2.0,0.0,2–0,Home Win,Balaídos
2013-2014,2014-05-11,Getafe,Sevilla,1.0,0.0,1–0,Home Win,Coliseum Alfonso Pérez
2013-2014,2014-05-11,Granada,Almería,0.0,2.0,0–2,Away Win,Nuevo Los Cármenes
2013-2014,2014-05-11,Atlético Madrid,Málaga,1.0,1.0,1–1,Draw,Vicente Calderón
2013-2014,2014-05-16,Málaga,Levante,1.0,0.0,1–0,Home Win,La Rosaleda
2013-2014,2014-05-17,Barcelona,Atlético Madrid,1.0,1.0,1–1,Draw,Camp Nou
2013-2014,2014-05-17,Valencia,Celta Vigo,2.0,1.0,2–1,Home Win,Mestalla
2013-2014,2014-05-17,Real Madrid,Espanyol,3.0,1.0,3–1,Home Win,Santiago Bernabéu
2013-2014,2014-05-18,Sevilla,Elche,3.0,1.0,3–1,Home Win,Ramón Sánchez Pizjuán
2013-2014,2014-05-18,Almería,Athletic Club,0.0,0.0,0–0,Draw,Estadio Mediterráneo
2013-2014,2014-05-18,Osasuna,Betis,2.0,1.0,2–1,Home Win,Reyno de Navarra
2013-2014,2014-05-18,Valladolid,Granada,0.0,1.0,0–1,Away Win,José Zorrilla
2013-2014,2014-05-18,Rayo Vallecano,Getafe,1.0,2.0,1–2,Away Win,Estadio de Vallecas Teresa Rivero
2013-2014,2014-05-18,Real Sociedad,Villarreal,1.0,2.0,1–2,Away Win,Anoeta
2014-2015,2014-08-23,Málaga,Athletic Club,1.0,0.0,1–0,Home Win,Estadio La Rosaleda
2014-2015,2014-08-23,Sevilla,Valencia,1.0,1.0,1–1,Draw,Estadio Ramón Sánchez Pizjuán
2014-2015,2014-08-23,Granada,La Coruña,2.0,1.0,2–1,Home Win,Estadio Nuevo Los Cármenes
2014-2015,2014-08-23,Almería,Espanyol,1.0,1.0,1–1,Draw,Estadio de los Juegos Mediterráneos
2014-2015,2014-08-24,Eibar,Real Sociedad,1.0,0.0,1–0,Home Win,Estadio Municipal de Ipurúa
2014-2015,2014-08-24,Celta Vigo,Getafe,3.0,1.0,3–1,Home Win,Estadio de Balaídos
2014-2015,2014-08-24,Barcelona,Elche,3.0,0.0,3–0,Home Win,Camp Nou
2014-2015,2014-08-24,Levante,Villarreal,0.0,2.0,0–2,Away Win,Estadio Ciudad de Valencia
2014-2015,2014-08-25,Real Madrid,Córdoba,2.0,0.0,2–0,Home Win,Estadio Santiago Bernabéu
2014-2015,2014-08-25,Rayo Vallecano,Atlético Madrid,0.0,0.0,0–0,Draw,Estadio del Rayo Vallecano
2014-2015,2014-08-29,Getafe,Almería,1.0,0.0,1–0,Home Win,Coliseum Alfonso Pérez
2014-2015,2014-08-29,Valencia,Málaga,3.0,0.0,3–0,Home Win,Estadio de Mestalla
2014-2015,2014-08-30,Córdoba,Celta Vigo,1.0,1.0,1–1,Draw,Estadio Nuevo Arcángel
2014-2015,2014-08-30,Athletic Club,Levante,3.0,0.0,3–0,Home Win,San Mamés
2014-2015,2014-08-30,Atlético Madrid,Eibar,2.0,1.0,2–1,Home Win,Estadio Vicente Calderón
2014-2015,2014-08-30,Espanyol,Sevilla,1.0,2.0,1–2,Away Win,RCDE Stadium
2014-2015,2014-08-31,Villarreal,Barcelona,0.0,1.0,0–1,Away Win,Estadio de la Cerámica
2014-2015,2014-08-31,La Coruña,Rayo Vallecano,2.0,2.0,2–2,Draw,Estadio Municipal de Riazor
2014-2015,2014-08-31,Real Sociedad,Real Madrid,4.0,2.0,4–2,Home Win,Estadio Municipal de Anoeta
2014-2015,2014-08-31,Elche,Granada,1.0,1.0,1–1,Draw,Estadio Manuel Martínez Valero
2014-2015,2014-09-12,Almería,Córdoba,1.0,1.0,1–1,Draw,Estadio de los Juegos Mediterráneos
2014-2015,2014-09-13,Barcelona,Athletic Club,2.0,0.0,2–0,Home Win,Camp Nou
2014-2015,2014-09-13,Málaga,Levante,0.0,0.0,0–0,Draw,Estadio La Rosaleda
2014-2015,2014-09-13,Real Madrid,Atlético Madrid,1.0,2.0,1–2,Away Win,Estadio Santiago Bernabéu
2014-2015,2014-09-13,Celta Vigo,Real Sociedad,2.0,2.0,2–2,Draw,Estadio de Balaídos
2014-2015,2014-09-14,Rayo Vallecano,Elche,2.0,3.0,2–3,Away Win,Estadio del Rayo Vallecano
2014-2015,2014-09-14,Valencia,Espanyol,3.0,1.0,3–1,Home Win,Estadio de Mestalla
2014-2015,2014-09-14,Sevilla,Getafe,2.0,0.0,2–0,Home Win,Estadio Ramón Sánchez Pizjuán
2014-2015,2014-09-14,Granada,Villarreal,0.0,0.0,0–0,Draw,Estadio Nuevo Los Cármenes
2014-2015,2014-09-15,Eibar,La Coruña,0.0,1.0,0–1,Away Win,Estadio Municipal de Ipurúa
2014-2015,2014-09-19,Elche,Eibar,0.0,2.0,0–2,Away Win,Estadio Manuel Martínez Valero
2014-2015,2014-09-20,La Coruña,Real Madrid,2.0,8.0,2–8,Away Win,Estadio Municipal de Riazor
2014-2015,2014-09-20,Athletic Club,Granada,0.0,1.0,0–1,Away Win,San Mamés
2014-2015,2014-09-20,Atlético Madrid,Celta Vigo,2.0,2.0,2–2,Draw,Estadio Vicente Calderón
2014-2015,2014-09-20,Espanyol,Málaga,2.0,2.0,2–2,Draw,RCDE Stadium
2014-2015,2014-09-21,Real Sociedad,Almería,1.0,2.0,1–2,Away Win,Estadio Municipal de Anoeta
2014-2015,2014-09-21,Villarreal,Rayo Vallecano,4.0,2.0,4–2,Home Win,Estadio de la Cerámica
2014-2015,2014-09-21,Córdoba,Sevilla,1.0,3.0,1–3,Away Win,Estadio Nuevo Arcángel
2014-2015,2014-09-21,Levante,Barcelona,0.0,5.0,0–5,Away Win,Estadio Ciudad de Valencia
2014-2015,2014-09-22,Getafe,Valencia,0.0,3.0,0–3,Away Win,Coliseum Alfonso Pérez
2014-2015,2014-09-23,Real Madrid,Elche,5.0,1.0,5–1,Home Win,Estadio Santiago Bernabéu
2014-2015,2014-09-23,Celta Vigo,La Coruña,2.0,1.0,2–1,Home Win,Estadio de Balaídos
2014-2015,2014-09-24,Eibar,Villarreal,1.0,1.0,1–1,Draw,Estadio Municipal de Ipurúa
2014-2015,2014-09-24,Rayo Vallecano,Athletic Club,2.0,1.0,2–1,Home Win,Estadio del Rayo Vallecano
2014-2015,2014-09-24,Almería,Atlético Madrid,0.0,1.0,0–1,Away Win,Estadio de los Juegos Mediterráneos
2014-2015,2014-09-24,Granada,Levante,0.0,1.0,0–1,Away Win,Estadio Nuevo Los Cármenes
2014-2015,2014-09-24,Málaga,Barcelona,0.0,0.0,0–0,Draw,Estadio La Rosaleda
2014-2015,2014-09-24,Sevilla,Real Sociedad,1.0,0.0,1–0,Home Win,Estadio Ramón Sánchez Pizjuán
2014-2015,2014-09-25,Espanyol,Getafe,2.0,0.0,2–0,Home Win,RCDE Stadium
2014-2015,2014-09-25,Valencia,Córdoba,3.0,0.0,3–0,Home Win,Estadio de Mestalla
2014-2015,2014-09-26,Elche,Celta Vigo,0.0,1.0,0–1,Away Win,Estadio Manuel Martínez Valero
2014-2015,2014-09-27,Villarreal,Real Madrid,0.0,2.0,0–2,Away Win,Estadio de la Cerámica
2014-2015,2014-09-27,Barcelona,Granada,6.0,0.0,6–0,Home Win,Camp Nou
2014-2015,2014-09-27,Atlético Madrid,Sevilla,4.0,0.0,4–0,Home Win,Estadio Vicente Calderón
2014-2015,2014-09-27,Athletic Club,Eibar,0.0,0.0,0–0,Draw,San Mamés
2014-2015,2014-09-27,Levante,Rayo Vallecano,0.0,2.0,0–2,Away Win,Estadio Ciudad de Valencia
2014-2015,2014-09-28,Getafe,Málaga,1.0,0.0,1–0,Home Win,Coliseum Alfonso Pérez
2014-2015,2014-09-28,La Coruña,Almería,0.0,1.0,0–1,Away Win,Estadio Municipal de Riazor
2014-2015,2014-09-28,Real Sociedad,Valencia,1.0,1.0,1–1,Draw,Estadio Municipal de Anoeta
2014-2015,2014-09-28,Córdoba,Espanyol,0.0,0.0,0–0,Draw,Estadio Nuevo Arcángel
2014-2015,2014-10-03,Getafe,Córdoba,1.0,1.0,1–1,Draw,Coliseum Alfonso Pérez
2014-2015,2014-10-04,Valencia,Atlético Madrid,3.0,1.0,3–1,Home Win,Estadio de Mestalla
2014-2015,2014-10-04,Rayo Vallecano,Barcelona,0.0,2.0,0–2,Away Win,Estadio del Rayo Vallecano
2014-2015,2014-10-04,Eibar,Levante,3.0,3.0,3–3,Draw,Estadio Municipal de Ipurúa
2014-2015,2014-10-04,Almería,Elche,2.0,2.0,2–2,Draw,Estadio de los Juegos Mediterráneos
2014-2015,2014-10-04,Málaga,Granada,2.0,1.0,2–1,Home Win,Estadio La Rosaleda
2014-2015,2014-10-05,Sevilla,La Coruña,4.0,1.0,4–1,Home Win,Estadio Ramón Sánchez Pizjuán
2014-2015,2014-10-05,Celta Vigo,Villarreal,1.0,3.0,1–3,Away Win,Estadio de Balaídos
2014-2015,2014-10-05,Espanyol,Real Sociedad,2.0,0.0,2–0,Home Win,RCDE Stadium
2014-2015,2014-10-05,Real Madrid,Athletic Club,5.0,0.0,5–0,Home Win,Estadio Santiago Bernabéu
2014-2015,2014-10-17,Granada,Rayo Vallecano,0.0,1.0,0–1,Away Win,Estadio Nuevo Los Cármenes
2014-2015,2014-10-18,Levante,Real Madrid,0.0,5.0,0–5,Away Win,Estadio Ciudad de Valencia
2014-2015,2014-10-18,Athletic Club,Celta Vigo,1.0,1.0,1–1,Draw,San Mamés
2014-2015,2014-10-18,Barcelona,Eibar,3.0,0.0,3–0,Home Win,Camp Nou
2014-2015,2014-10-18,Córdoba,Málaga,1.0,2.0,1–2,Away Win,Estadio Nuevo Arcángel
2014-2015,2014-10-19,Atlético Madrid,Espanyol,2.0,0.0,2–0,Home Win,Estadio Vicente Calderón
2014-2015,2014-10-19,La Coruña,Valencia,3.0,0.0,3–0,Home Win,Estadio Municipal de Riazor
2014-2015,2014-10-19,Elche,Sevilla,0.0,2.0,0–2,Away Win,Estadio Manuel Martínez Valero
2014-2015,2014-10-19,Villarreal,Almería,2.0,0.0,2–0,Home Win,Estadio de la Cerámica
2014-2015,2014-10-20,Real Sociedad,Getafe,1.0,2.0,1–2,Away Win,Estadio Municipal de Anoeta
2014-2015,2014-10-24,Celta Vigo,Levante,3.0,0.0,3–0,Home Win,Estadio de Balaídos
2014-2015,2014-10-25,Almería,Athletic Club,0.0,1.0,0–1,Away Win,Estadio de los Juegos Mediterráneos
2014-2015,2014-10-25,Real Madrid,Barcelona,3.0,1.0,3–1,Home Win,Estadio Santiago Bernabéu
2014-2015,2014-10-25,Valencia,Elche,3.0,1.0,3–1,Home Win,Estadio de Mestalla
2014-2015,2014-10-25,Córdoba,Real Sociedad,1.0,1.0,1–1,Draw,Estadio Nuevo Arcángel
2014-2015,2014-10-25,Eibar,Granada,1.0,1.0,1–1,Draw,Estadio Municipal de Ipurúa
2014-2015,2014-10-26,Málaga,Rayo Vallecano,4.0,0.0,4–0,Home Win,Estadio La Rosaleda
2014-2015,2014-10-26,Espanyol,La Coruña,0.0,0.0,0–0,Draw,RCDE Stadium
2014-2015,2014-10-26,Sevilla,Villarreal,2.0,1.0,2–1,Home Win,Estadio Ramón Sánchez Pizjuán
2014-2015,2014-10-26,Getafe,Atlético Madrid,0.0,1.0,0–1,Away Win,Coliseum Alfonso Pérez
2014-2015,2014-10-31,La Coruña,Getafe,1.0,2.0,1–2,Away Win,Estadio Municipal de Riazor
2014-2015,2014-11-01,Granada,Real Madrid,0.0,4.0,0–4,Away Win,Estadio Nuevo Los Cármenes
2014-2015,2014-11-01,Atlético Madrid,Córdoba,4.0,2.0,4–2,Home Win,Estadio Vicente Calderón
2014-2015,2014-11-01,Barcelona,Celta Vigo,0.0,1.0,0–1,Away Win,Camp Nou
2014-2015,2014-11-01,Real Sociedad,Málaga,0.0,1.0,0–1,Away Win,Estadio Municipal de Anoeta
2014-2015,2014-11-02,Athletic Club,Sevilla,1.0,0.0,1–0,Home Win,San Mamés
2014-2015,2014-11-02,Villarreal,Valencia,1.0,3.0,1–3,Away Win,Estadio de la Cerámica
2014-2015,2014-11-02,Levante,Almería,2.0,1.0,2–1,Home Win,Estadio Ciudad de Valencia
2014-2015,2014-11-02,Elche,Espanyol,2.0,1.0,2–1,Home Win,Estadio Manuel Martínez Valero
2014-2015,2014-11-03,Rayo Vallecano,Eibar,2.0,3.0,2–3,Away Win,Estadio del Rayo Vallecano
2014-2015,2014-11-07,Córdoba,La Coruña,0.0,0.0,0–0,Draw,Estadio Nuevo Arcángel
2014-2015,2014-11-08,Almería,Barcelona,1.0,2.0,1–2,Away Win,Estadio de los Juegos Mediterráneos
2014-2015,2014-11-08,Getafe,Elche,0.0,0.0,0–0,Draw,Coliseum Alfonso Pérez
2014-2015,2014-11-08,Real Madrid,Rayo Vallecano,5.0,1.0,5–1,Home Win,Estadio Santiago Bernabéu
2014-2015,2014-11-08,Málaga,Eibar,2.0,1.0,2–1,Home Win,Estadio La Rosaleda
2014-2015,2014-11-08,Celta Vigo,Granada,0.0,0.0,0–0,Draw,Estadio de Balaídos
2014-2015,2014-11-09,Sevilla,Levante,1.0,1.0,1–1,Draw,Estadio Ramón Sánchez Pizjuán
2014-2015,2014-11-09,Espanyol,Villarreal,1.0,1.0,1–1,Draw,RCDE Stadium
2014-2015,2014-11-09,Valencia,Athletic Club,0.0,0.0,0–0,Draw,Estadio de Mestalla
2014-2015,2014-11-09,Real Sociedad,Atlético Madrid,2.0,1.0,2–1,Home Win,Estadio Municipal de Anoeta
2014-2015,2014-11-21,Athletic Club,Espanyol,3.0,1.0,3–1,Home Win,San Mamés
2014-2015,2014-11-22,Atlético Madrid,Málaga,3.0,1.0,3–1,Home Win,Estadio Vicente Calderón
2014-2015,2014-11-22,Eibar,Real Madrid,0.0,4.0,0–4,Away Win,Estadio Municipal de Ipurúa
2014-2015,2014-11-22,Barcelona,Sevilla,5.0,1.0,5–1,Home Win,Camp Nou
2014-2015,2014-11-22,La Coruña,Real Sociedad,0.0,0.0,0–0,Draw,Estadio Municipal de Riazor
2014-2015,2014-11-23,Rayo Vallecano,Celta Vigo,1.0,0.0,1–0,Home Win,Estadio del Rayo Vallecano
2014-2015,2014-11-23,Levante,Valencia,2.0,1.0,2–1,Home Win,Estadio Ciudad de Valencia
2014-2015,2014-11-23,Elche,Córdoba,2.0,2.0,2–2,Draw,Estadio Manuel Martínez Valero
2014-2015,2014-11-23,Villarreal,Getafe,2.0,1.0,2–1,Home Win,Estadio de la Cerámica
2014-2015,2014-11-24,Granada,Almería,0.0,0.0,0–0,Draw,Estadio Nuevo Los Cármenes
2014-2015,2014-11-28,Real Sociedad,Elche,3.0,0.0,3–0,Home Win,Estadio Municipal de Anoeta
2014-2015,2014-11-29,Getafe,Athletic Club,1.0,2.0,1–2,Away Win,Coliseum Alfonso Pérez
2014-2015,2014-11-29,Espanyol,Levante,2.0,1.0,2–1,Home Win,RCDE Stadium
2014-2015,2014-11-29,Málaga,Real Madrid,1.0,2.0,1–2,Away Win,Estadio La Rosaleda
2014-2015,2014-11-29,Celta Vigo,Eibar,0.0,1.0,0–1,Away Win,Estadio de Balaídos
2014-2015,2014-11-30,Atlético Madrid,La Coruña,2.0,0.0,2–0,Home Win,Estadio Vicente Calderón
2014-2015,2014-11-30,Sevilla,Granada,5.0,1.0,5–1,Home Win,Estadio Ramón Sánchez Pizjuán
2014-2015,2014-11-30,Córdoba,Villarreal,0.0,2.0,0–2,Away Win,Estadio Nuevo Arcángel
2014-2015,2014-11-30,Valencia,Barcelona,0.0,1.0,0–1,Away Win,Estadio de Mestalla
2014-2015,2014-12-01,Almería,Rayo Vallecano,0.0,1.0,0–1,Away Win,Estadio de los Juegos Mediterráneos
2014-2015,2014-12-06,Elche,Atlético Madrid,0.0,2.0,0–2,Away Win,Estadio Manuel Martínez Valero
2014-2015,2014-12-06,Athletic Club,Córdoba,0.0,1.0,0–1,Away Win,San Mamés
2014-2015,2014-12-06,Real Madrid,Celta Vigo,3.0,0.0,3–0,Home Win,Estadio Santiago Bernabéu
2014-2015,2014-12-06,La Coruña,Málaga,0.0,1.0,0–1,Away Win,Estadio Municipal de Riazor
2014-2015,2014-12-07,Rayo Vallecano,Sevilla,0.0,1.0,0–1,Away Win,Estadio del Rayo Vallecano
2014-2015,2014-12-07,Barcelona,Espanyol,5.0,1.0,5–1,Home Win,Camp Nou
2014-2015,2014-12-07,Villarreal,Real Sociedad,4.0,0.0,4–0,Home Win,Estadio de la Cerámica
2014-2015,2014-12-07,Granada,Valencia,1.0,1.0,1–1,Draw,Estadio Nuevo Los Cármenes
2014-2015,2014-12-08,Eibar,Almería,5.0,2.0,5–2,Home Win,Estadio Municipal de Ipurúa
2014-2015,2014-12-08,Levante,Getafe,1.0,1.0,1–1,Draw,Estadio Ciudad de Valencia
2014-2015,2014-12-12,Almería,Real Madrid,1.0,4.0,1–4,Away Win,Estadio de los Juegos Mediterráneos
2014-2015,2014-12-13,Getafe,Barcelona,0.0,0.0,0–0,Draw,Coliseum Alfonso Pérez
2014-2015,2014-12-13,Valencia,Rayo Vallecano,3.0,0.0,3–0,Home Win,Estadio de Mestalla
2014-2015,2014-12-13,Córdoba,Levante,0.0,0.0,0–0,Draw,Estadio Nuevo Arcángel
2014-2015,2014-12-13,Málaga,Celta Vigo,1.0,0.0,1–0,Home Win,Estadio La Rosaleda
2014-2015,2014-12-14,Espanyol,Granada,2.0,1.0,2–1,Home Win,RCDE Stadium
